GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-10-29,DEN,Denver Nuggets,Aaron Gordon,9.0,9.0,3.0,2,5,40.0,1,4,25.0,4,4,100.0,50.0,66.6,23,0,0,50.0,50.0,66.6,66.6,9.0,9.0,25.0,25.0
2025-10-29,IND,Indiana Pacers,Aaron Nesmith,5.0,3.0,1.0,2,16,12.5,1,9,11.1,0,2,0.0,15.6,14.8,37,0,0,15.6,15.6,14.8,14.8,5.0,5.0,11.1,11.1
2025-10-29,UTAH,Utah Jazz,Ace Bailey,8.0,3.0,2.0,3,5,60.0,0,2,0.0,2,2,100.0,60.0,68.0,15,0,0,60.0,60.0,68.0,68.0,8.0,8.0,0.0,0.0
2025-10-29,HOU,Houston Rockets,Alperen Sengun,18.0,8.0,9.0,6,8,75.0,1,2,50.0,5,8,62.5,81.2,78.1,35,0,0,81.2,81.2,78.1,78.1,18.0,18.0,50.0,50.0
2025-10-29,HOU,Houston Rockets,Amen Thompson,18.0,9.0,7.0,7,13,53.8,0,1,0.0,4,5,80.0,53.8,59.2,40,0,0,53.8,53.8,59.2,59.2,18.0,18.0,0.0,0.0
2025-10-29,BOS,Boston Celtics,Anfernee Simons,14.0,0.0,2.0,4,9,44.4,4,6,66.7,2,2,100.0,66.7,70.9,26,0,1,66.7,66.7,70.9,70.9,14.0,14.0,66.7,66.7
2025-10-29,ORL,Orlando Magic,Anthony Black,10.0,4.0,1.0,3,10,30.0,1,6,16.7,3,4,75.0,35.0,42.5,24,0,0,35.0,35.0,42.5,42.5,10.0,10.0,16.7,16.7
2025-10-29,DAL,Dallas Mavericks,Anthony Davis,4.0,4.0,0.0,2,4,50.0,0,0,0.0,0,0,0.0,50.0,50.0,7,0,0,50.0,50.0,50.0,50.0,4.0,4.0,0.0,0.0
2025-10-29,DET,Detroit Pistons,Ausar Thompson,12.0,11.0,6.0,4,14,28.6,1,3,33.3,3,4,75.0,32.1,38.1,29,0,0,32.1,32.1,38.1,38.1,12.0,12.0,33.3,33.3
2025-10-29,LAL,Los Angeles Lakers,Austin Reaves,28.0,1.0,16.0,9,24,37.5,3,11,27.3,7,7,100.0,43.8,51.7,40,0,0,43.8,43.8,51.7,51.7,28.0,28.0,27.3,27.3
2025-10-29,CHI,Chicago Bulls,Ayo Dosunmu,9.0,2.0,1.0,3,8,37.5,0,3,0.0,3,3,100.0,37.5,48.3,21,0,0,37.5,37.5,48.3,48.3,9.0,9.0,0.0,0.0
2025-10-29,BOS,Boston Celtics,Baylor Scheierman,0.0,3.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,BKN,Brooklyn Nets,Ben Saraf,0.0,2.0,1.0,0,2,0.0,0,2,0.0,0,0,0.0,0.0,0.0,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-29,IND,Indiana Pacers,Ben Sheppard,4.0,8.0,2.0,1,7,14.3,0,4,0.0,2,2,100.0,14.3,25.4,25,0,0,14.3,14.3,25.4,25.4,4.0,4.0,0.0,0.0
2025-10-29,POR,Portland Trail Blazers,Blake Wesley,10.0,2.0,3.0,4,7,57.1,2,5,40.0,0,0,0.0,71.4,71.4,20,0,0,71.4,71.4,71.4,71.4,10.0,10.0,40.0,40.0
2025-10-29,MIN,Minnesota Timberwolves,Bones Hyland,8.0,1.0,2.0,3,4,75.0,2,3,66.7,0,0,0.0,100.0,100.0,8,0,0,100.0,100.0,100.0,100.0,8.0,8.0,66.7,66.7
2025-10-29,TOR,Toronto Raptors,Brandon Ingram,29.0,2.0,4.0,11,16,68.8,5,7,71.4,2,2,100.0,84.4,85.9,33,0,1,84.4,84.4,85.9,85.9,29.0,29.0,71.4,71.4
