GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-03,MIL,Milwaukee Bucks,AJ Green,13.0,1.0,3.0,4,8,50.0,4,8,50.0,1,2,50.0,75.0,73.2,29,0,1,75.0,75.0,73.2,73.2,13.0,13.0,50.0,50.0
2025-11-03,WSH,Washington Wizards,AJ Johnson,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,DEN,Denver Nuggets,Aaron Gordon,20.0,7.0,1.0,6,11,54.5,3,6,50.0,5,6,83.3,68.2,73.3,30,0,0,68.2,68.2,73.3,73.3,20.0,20.0,50.0,50.0
2025-11-03,HOU,Houston Rockets,Aaron Holiday,6.0,1.0,1.0,2,3,66.7,1,2,50.0,1,1,100.0,83.3,87.2,10,0,0,83.3,83.3,87.2,87.2,6.0,6.0,50.0,50.0
2025-11-03,IND,Indiana Pacers,Aaron Nesmith,17.0,7.0,1.0,5,16,31.2,2,9,22.2,5,6,83.3,37.5,45.6,34,0,0,37.5,37.5,45.6,45.6,17.0,17.0,22.2,22.2
2025-11-03,UTAH,Utah Jazz,Ace Bailey,4.0,2.0,0.0,2,4,50.0,0,0,0.0,0,0,0.0,50.0,50.0,18,0,0,50.0,50.0,50.0,50.0,4.0,4.0,0.0,0.0
2025-11-03,WSH,Washington Wizards,Alex Sarr,19.0,8.0,7.0,8,16,50.0,0,3,0.0,3,3,100.0,50.0,54.8,29,0,0,50.0,50.0,54.8,54.8,19.0,19.0,0.0,0.0
2025-11-03,HOU,Houston Rockets,Alperen Sengun,26.0,11.0,6.0,10,20,50.0,0,2,0.0,6,11,54.5,50.0,52.3,40,0,0,50.0,50.0,52.3,52.3,26.0,26.0,0.0,0.0
2025-11-03,HOU,Houston Rockets,Amen Thompson,27.0,5.0,4.0,11,18,61.1,1,3,33.3,4,7,57.1,63.9,64.0,39,0,0,63.9,63.9,64.0,64.0,27.0,27.0,33.3,33.3
2025-11-03,MIL,Milwaukee Bucks,Amir Coffey,0.0,0.0,1.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,MIA,Miami Heat,Andrew Wiggins,17.0,2.0,2.0,7,12,58.3,3,5,60.0,0,0,0.0,70.8,70.8,32,0,0,70.8,70.8,70.8,70.8,17.0,17.0,60.0,60.0
2025-11-03,BOS,Boston Celtics,Anfernee Simons,15.0,1.0,2.0,5,13,38.5,2,8,25.0,3,3,100.0,46.2,52.4,26,0,0,46.2,46.2,52.4,52.4,15.0,15.0,25.0,25.0
