GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-01,MIL,Milwaukee Bucks,AJ Green,17.0,4.0,2.0,6,12,50.0,4,10,40.0,1,2,50.0,66.7,66.0,30,0,1,66.7,66.7,66.0,66.0,17.0,17.0,40.0,40.0
2025-11-01,WSH,Washington Wizards,AJ Johnson,2.0,1.0,0.0,1,3,33.3,0,0,0.0,0,0,0.0,33.3,33.3,6,0,0,33.3,33.3,33.3,33.3,2.0,2.0,0.0,0.0
2025-11-01,HOU,Houston Rockets,Aaron Holiday,2.0,2.0,2.0,0,1,0.0,0,0,0.0,2,2,100.0,0.0,53.2,8,0,0,0.0,0.0,53.2,53.2,2.0,2.0,0.0,0.0
2025-11-01,IND,Indiana Pacers,Aaron Nesmith,31.0,6.0,1.0,10,19,52.6,5,11,45.5,6,6,100.0,65.8,71.6,35,1,1,65.8,65.8,71.6,71.6,31.0,31.0,45.5,45.5
2025-11-01,GS,Golden State Warriors,Al Horford,4.0,6.0,1.0,2,4,50.0,0,2,0.0,0,0,0.0,50.0,50.0,15,0,0,50.0,50.0,50.0,50.0,4.0,4.0,0.0,0.0
2025-11-01,WSH,Washington Wizards,Alex Sarr,10.0,8.0,2.0,4,8,50.0,0,0,0.0,2,4,50.0,50.0,51.2,28,0,0,50.0,50.0,51.2,51.2,10.0,10.0,0.0,0.0
2025-11-01,HOU,Houston Rockets,Alperen Sengun,16.0,10.0,9.0,5,13,38.5,1,3,33.3,5,7,71.4,42.3,49.8,31,0,0,42.3,42.3,49.8,49.8,16.0,16.0,33.3,33.3
2025-11-01,BOS,Boston Celtics,Amari Williams,2.0,1.0,1.0,1,2,50.0,0,0,0.0,0,0,0.0,50.0,50.0,6,0,0,50.0,50.0,50.0,50.0,2.0,2.0,0.0,0.0
2025-11-01,HOU,Houston Rockets,Amen Thompson,17.0,9.0,8.0,6,12,50.0,1,1,100.0,4,6,66.7,54.2,58.1,32,0,0,54.2,54.2,58.1,58.1,17.0,17.0,100.0,100.0
2025-11-01,MIL,Milwaukee Bucks,Amir Coffey,4.0,3.0,2.0,2,3,66.7,0,1,0.0,0,0,0.0,66.7,66.7,15,0,0,66.7,66.7,66.7,66.7,4.0,4.0,0.0,0.0
2025-11-01,BOS,Boston Celtics,Anfernee Simons,3.0,1.0,0.0,1,6,16.7,1,3,33.3,0,0,0.0,25.0,25.0,17,0,0,25.0,25.0,25.0,25.0,3.0,3.0,33.3,33.3
2025-11-01,ORL,Orlando Magic,Anthony Black,8.0,2.0,5.0,3,6,50.0,0,2,0.0,2,2,100.0,50.0,58.1,25,0,0,50.0,50.0,58.1,58.1,8.0,8.0,0.0,0.0
2025-11-01,WSH,Washington Wizards,Anthony Gill,0.0,1.0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01,DET,Detroit Pistons,Ausar Thompson,15.0,7.0,1.0,6,12,50.0,1,2,50.0,2,6,33.3,54.2,51.2,28,0,0,54.2,54.2,51.2,51.2,15.0,15.0,50.0,50.0
2025-11-01,BOS,Boston Celtics,Baylor Scheierman,17.0,5.0,1.0,6,7,85.7,4,5,80.0,1,1,100.0,114.3,114.2,23,0,1,114.3,114.3,114.2,114.2,17.0,17.0,80.0,80.0
2025-11-01,IND,Indiana Pacers,Ben Sheppard,3.0,3.0,2.0,0,1,0.0,0,1,0.0,3,4,75.0,0.0,54.3,13,0,0,0.0,0.0,54.3,54.3,3.0,3.0,0.0,0.0
2025-11-01,WSH,Washington Wizards,Bilal Coulibaly,10.0,2.0,4.0,3,10,30.0,0,2,0.0,4,6,66.7,30.0,39.6,27,0,0,30.0,30.0,39.6,39.6,10.0,10.0,0.0,0.0
2025-11-01,MIL,Milwaukee Bucks,Bobby Portis,16.0,6.0,2.0,6,9,66.7,2,3,66.7,2,2,100.0,77.8,81.0,23,0,0,77.8,77.8,81.0,81.0,16.0,16.0,66.7,66.7
2025-11-01,MIN,Minnesota Timberwolves,Bones Hyland,3.0,1.0,1.0,1,3,33.3,1,3,33.3,0,0,0.0,50.0,50.0,10,0,0,50.0,50.0,50.0,50.0,3.0,3.0,33.3,33.3
2025-11-01,GS,Golden State Warriors,Brandin Podziemski,16.0,4.0,3.0,6,10,60.0,1,4,25.0,3,4,75.0,65.0,68.0,35,0,0,65.0,65.0,68.0,68.0,16.0,16.0,25.0,25.0
2025-11-01,DAL,Dallas Mavericks,Brandon Williams,12.0,0.0,0.0,3,7,42.9,1,4,25.0,5,8,62.5,50.0,57.0,17,0,0,50.0,50.0,57.0,57.0,12.0,12.0,25.0,25.0
2025-11-01,WSH,Washington Wizards,Bub Carrington,7.0,4.0,5.0,3,9,33.3,1,3,33.3,0,0,0.0,38.9,38.9,22,0,0,38.9,38.9,38.9,38.9,7.0,7.0,33.3,33.3
2025-11-01,GS,Golden State Warriors,Buddy Hield,3.0,1.0,4.0,1,4,25.0,1,4,25.0,0,0,0.0,37.5,37.5,15,0,0,37.5,37.5,37.5,37.5,3.0,3.0,25.0,25.0
2025-11-01,WSH,Washington Wizards,CJ McCollum,13.0,5.0,1.0,5,12,41.7,3,4,75.0,0,0,0.0,54.2,54.2,22,0,0,54.2,54.2,54.2,54.2,13.0,13.0,75.0,75.0
2025-11-01,DET,Detroit Pistons,Cade Cunningham,21.0,6.0,18.0,7,16,43.8,2,4,50.0,5,8,62.5,50.0,53.8,37,0,0,50.0,50.0,53.8,53.8,21.0,21.0,50.0,50.0
2025-11-01,DAL,Dallas Mavericks,Caleb Martin,2.0,2.0,1.0,0,2,0.0,0,1,0.0,2,2,100.0,0.0,34.7,12,0,0,0.0,0.0,34.7,34.7,2.0,2.0,0.0,0.0
2025-11-01,WSH,Washington Wizards,Cam Whitmore,8.0,2.0,0.0,3,7,42.9,2,3,66.7,0,2,0.0,57.1,50.8,16,0,0,57.1,57.1,50.8,50.8,8.0,8.0,66.7,66.7
2025-11-01,DET,Detroit Pistons,Caris LeVert,5.0,1.0,2.0,2,6,33.3,1,1,100.0,0,0,0.0,41.7,41.7,18,0,0,41.7,41.7,41.7,41.7,5.0,5.0,100.0,100.0
