GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-05,WSH,Washington Wizards,AJ Johnson,1.0,2.0,1.0,0,0,0.0,0,0,0.0,1,2,50.0,0.0,56.8,6,0,0,0.0,0.0,56.8,56.8,1.0,1.0,0.0,0.0
2025-11-05,DEN,Denver Nuggets,Aaron Gordon,24.0,6.0,1.0,9,16,56.2,1,5,20.0,5,6,83.3,59.4,64.4,31,0,0,59.4,59.4,64.4,64.4,24.0,24.0,20.0,20.0
2025-11-05,HOU,Houston Rockets,Aaron Holiday,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,IND,Indiana Pacers,Aaron Nesmith,15.0,7.0,2.0,6,17,35.3,3,9,33.3,0,1,0.0,44.1,43.0,32,0,0,44.1,44.1,43.0,43.0,15.0,15.0,33.3,33.3
2025-11-05,OKC,Oklahoma City Thunder,Aaron Wiggins,27.0,2.0,2.0,10,19,52.6,7,10,70.0,0,0,0.0,71.1,71.1,27,0,1,71.1,71.1,71.1,71.1,27.0,27.0,70.0,70.0
2025-11-05,UTAH,Utah Jazz,Ace Bailey,9.0,4.0,1.0,3,6,50.0,0,0,0.0,3,4,75.0,50.0,58.0,19,0,0,50.0,50.0,58.0,58.0,9.0,9.0,0.0,0.0
2025-11-05,PHI,Philadelphia 76ers,Adem Bona,4.0,4.0,0.0,1,3,33.3,0,1,0.0,2,5,40.0,33.3,38.5,18,0,0,33.3,33.3,38.5,38.5,4.0,4.0,0.0,0.0
2025-11-05,OKC,Oklahoma City Thunder,Ajay Mitchell,21.0,4.0,3.0,7,11,63.6,0,1,0.0,7,7,100.0,63.6,74.6,31,0,0,63.6,63.6,74.6,74.6,21.0,21.0,0.0,0.0
2025-11-05,GS,Golden State Warriors,Al Horford,0.0,7.0,2.0,0,8,0.0,0,7,0.0,0,0,0.0,0.0,0.0,27,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,WSH,Washington Wizards,Alex Sarr,31.0,8.0,2.0,12,20,60.0,4,5,80.0,3,4,75.0,70.0,71.2,29,1,1,70.0,70.0,71.2,71.2,31.0,31.0,80.0,80.0
2025-11-05,HOU,Houston Rockets,Alperen Sengun,20.0,16.0,7.0,6,14,42.9,0,2,0.0,8,10,80.0,42.9,54.3,35,0,0,42.9,42.9,54.3,54.3,20.0,20.0,0.0,0.0
2025-11-05,HOU,Houston Rockets,Amen Thompson,28.0,10.0,7.0,13,26,50.0,1,3,33.3,1,1,100.0,51.9,53.0,39,0,0,51.9,51.9,53.0,53.0,28.0,28.0,33.3,33.3
2025-11-05,PHI,Philadelphia 76ers,Andre Drummond,13.0,13.0,1.0,6,7,85.7,1,1,100.0,0,0,0.0,92.9,92.9,28,0,0,92.9,92.9,92.9,92.9,13.0,13.0,100.0,100.0
2025-11-05,MIA,Miami Heat,Andrew Wiggins,22.0,4.0,5.0,9,13,69.2,3,4,75.0,1,2,50.0,80.8,79.3,32,0,0,80.8,80.8,79.3,79.3,22.0,22.0,75.0,75.0
2025-11-05,BOS,Boston Celtics,Anfernee Simons,18.0,0.0,2.0,7,16,43.8,4,10,40.0,0,0,0.0,56.2,56.2,30,0,1,56.2,56.2,56.2,56.2,18.0,18.0,40.0,40.0
2025-11-05,MIN,Minnesota Timberwolves,Anthony Edwards,15.0,2.0,5.0,5,13,38.5,3,7,42.9,2,3,66.7,50.0,52.4,29,0,0,50.0,50.0,52.4,52.4,15.0,15.0,42.9,42.9
2025-11-05,NY,New York Knicks,Ariel Hukporti,4.0,1.0,0.0,2,2,100.0,0,0,0.0,0,0,0.0,100.0,100.0,2,0,0,100.0,100.0,100.0,100.0,4.0,4.0,0.0,0.0
2025-11-05,DET,Detroit Pistons,Ausar Thompson,18.0,7.0,4.0,7,12,58.3,0,0,0.0,4,6,66.7,58.3,61.5,31,0,0,58.3,58.3,61.5,61.5,18.0,18.0,0.0,0.0
2025-11-05,MIA,Miami Heat,Bam Adebayo,2.0,1.0,0.0,1,5,20.0,0,2,0.0,0,0,0.0,20.0,20.0,8,0,0,20.0,20.0,20.0,20.0,2.0,2.0,0.0,0.0
2025-11-05,BOS,Boston Celtics,Baylor Scheierman,0.0,0.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,IND,Indiana Pacers,Ben Sheppard,18.0,4.0,3.0,7,13,53.8,3,7,42.9,1,1,100.0,65.4,67.0,35,0,0,65.4,65.4,67.0,67.0,18.0,18.0,42.9,42.9
2025-11-05,WSH,Washington Wizards,Bilal Coulibaly,1.0,2.0,3.0,0,5,0.0,0,3,0.0,1,2,50.0,0.0,8.5,16,0,0,0.0,0.0,8.5,8.5,1.0,1.0,0.0,0.0
2025-11-05,MIN,Minnesota Timberwolves,Bones Hyland,0.0,0.0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,OKC,Oklahoma City Thunder,Branden Carlson,0.0,1.0,0.0,0,4,0.0,0,1,0.0,0,0,0.0,0.0,0.0,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,GS,Golden State Warriors,Brandin Podziemski,14.0,9.0,9.0,5,10,50.0,2,4,50.0,2,2,100.0,60.0,64.3,31,0,0,60.0,60.0,64.3,64.3,14.0,14.0,50.0,50.0
2025-11-05,DAL,Dallas Mavericks,Brandon Williams,10.0,1.0,3.0,4,9,44.4,1,3,33.3,1,2,50.0,50.0,50.6,19,0,0,50.0,50.0,50.6,50.6,10.0,10.0,33.3,33.3
2025-11-05,UTAH,Utah Jazz,Brice Sensabaugh,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,LAL,Los Angeles Lakers,Bronny James,2.0,1.0,0.0,1,3,33.3,0,0,0.0,0,0,0.0,33.3,33.3,5,0,0,33.3,33.3,33.3,33.3,2.0,2.0,0.0,0.0
2025-11-05,OKC,Oklahoma City Thunder,Brooks Barnhizer,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-05,DEN,Denver Nuggets,Bruce Brown,5.0,3.0,2.0,2,7,28.6,1,3,33.3,0,0,0.0,35.7,35.7,28,0,0,35.7,35.7,35.7,35.7,5.0,5.0,33.3,33.3
2025-11-05,WSH,Washington Wizards,Bub Carrington,3.0,5.0,6.0,1,2,50.0,1,2,50.0,0,0,0.0,75.0,75.0,31,0,0,75.0,75.0,75.0,75.0,3.0,3.0,50.0,50.0
