GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-06,LAC,LA Clippers,Bogdan Bogdanovic,12.0,4.0,5.0,0.0,3,8,37.5,2,6,33.3,4,4,100.0,50.0,61.5,28,0,0,1,1,1,0,0,12.0,12.0,33.3,33.3
2025-11-06,LAC,LA Clippers,Bradley Beal,5.0,1.0,1.0,0.0,2,14,14.3,1,5,20.0,0,0,0.0,17.9,17.9,20,0,0,0,0,0,0,0,5.0,5.0,20.0,20.0
2025-11-06,LAC,LA Clippers,Brook Lopez,6.0,3.0,0.0,1.0,3,6,50.0,0,3,0.0,0,0,0.0,50.0,50.0,18,0,0,0,1,0,0,0,6.0,6.0,0.0,0.0
2025-11-06,LAC,LA Clippers,Cam Christie,17.0,2.0,3.0,1.0,5,7,71.4,2,3,66.7,5,7,71.4,85.7,84.3,25,0,0,0,0,0,0,0,17.0,17.0,66.7,66.7
2025-11-06,LAC,LA Clippers,Chris Paul,2.0,2.0,2.0,1.0,1,3,33.3,0,2,0.0,0,0,0.0,33.3,33.3,10,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
2025-11-06,PHX,Phoenix Suns,Collin Gillespie,1.0,5.0,7.0,1.0,0,5,0.0,0,5,0.0,1,2,50.0,0.0,8.5,25,0,0,0,1,1,0,0,1.0,1.0,0.0,0.0
2025-11-06,LAC,LA Clippers,Derrick Jones Jr.,10.0,1.0,0.0,1.0,3,4,75.0,2,3,66.7,2,2,100.0,100.0,102.5,22,0,0,0,0,0,0,0,10.0,10.0,66.7,66.7
2025-11-06,PHX,Phoenix Suns,Devin Booker,24.0,6.0,7.0,3.0,10,22,45.5,3,7,42.9,1,1,100.0,52.3,53.5,37,0,0,0,1,0,0,1,24.0,24.0,42.9,42.9
2025-11-06,PHX,Phoenix Suns,Grayson Allen,18.0,3.0,4.0,3.0,7,13,53.8,4,9,44.4,0,0,0.0,69.2,69.2,36,0,1,1,0,1,0,0,18.0,18.0,44.4,44.4
2025-11-06,LAC,LA Clippers,Ivica Zubac,23.0,11.0,2.0,2.0,8,14,57.1,0,0,0.0,7,8,87.5,57.1,65.6,27,0,0,1,0,0,0,1,23.0,23.0,0.0,0.0
2025-11-06,LAC,LA Clippers,Jahmyl Telfort,1.0,1.0,1.0,0.0,0,1,0.0,0,1,0.0,1,4,25.0,0.0,18.1,7,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0
2025-11-06,PHX,Phoenix Suns,Jalen Green,29.0,3.0,3.0,2.0,10,20,50.0,6,13,46.2,3,5,60.0,65.0,65.3,23,0,1,1,0,1,0,1,29.0,29.0,46.2,46.2
