GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-08,CLE,Cleveland Cavaliers,Craig Porter Jr.,0.0,0.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-08,DAL,Dallas Mavericks,D'Angelo Russell,6.0,2.0,1.0,0.0,3,10,30.0,0,6,0.0,0,2,0.0,30.0,27.6,17,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0
2025-11-08,LAL,Los Angeles Lakers,Dalton Knecht,14.0,4.0,1.0,0.0,5,11,45.5,2,5,40.0,2,2,100.0,54.5,58.9,25,0,0,1,0,0,0,0,14.0,14.0,40.0,40.0
2025-11-08,DAL,Dallas Mavericks,Daniel Gafford,8.0,5.0,0.0,0.0,4,5,80.0,0,0,0.0,0,0,0.0,80.0,80.0,19,0,0,0,0,0,0,0,8.0,8.0,0.0,0.0
2025-11-08,MIA,Miami Heat,Davion Mitchell,11.0,2.0,7.0,5.0,4,7,57.1,1,2,50.0,2,2,100.0,64.3,69.8,26,0,0,1,0,1,0,1,11.0,11.0,50.0,50.0
2025-11-08,SA,San Antonio Spurs,De'Aaron Fox,24.0,3.0,3.0,1.0,9,14,64.3,2,5,40.0,4,5,80.0,71.4,74.1,31,0,0,1,0,0,0,0,24.0,24.0,40.0,40.0
2025-11-08,CLE,Cleveland Cavaliers,De'Andre Hunter,29.0,4.0,2.0,0.0,10,16,62.5,4,8,50.0,5,7,71.4,75.0,76.0,30,0,1,1,0,1,0,0,29.0,29.0,50.0,50.0
2025-11-08,CLE,Cleveland Cavaliers,Dean Wade,2.0,3.0,0.0,2.0,1,5,20.0,0,4,0.0,0,0,0.0,20.0,20.0,19,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
2025-11-08,LAL,Los Angeles Lakers,Deandre Ayton,11.0,5.0,0.0,0.0,5,5,100.0,0,0,0.0,1,1,100.0,100.0,101.1,20,0,0,0,0,0,0,0,11.0,11.0,0.0,0.0
2025-11-08,POR,Portland Trail Blazers,Deni Avdija,33.0,11.0,8.0,0.0,12,21,57.1,3,9,33.3,6,7,85.7,64.3,68.5,37,1,0,1,1,1,0,0,33.0,33.0,33.3,33.3
