GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-10-31,DEN,Denver Nuggets,Aaron Gordon,14.0,5.0,1.0,5,11,45.5,0,2,0.0,4,4,100.0,45.5,54.9,32,0,0,45.5,45.5,54.9,54.9,14.0,14.0,0.0,0.0
2025-10-31,IND,Indiana Pacers,Aaron Nesmith,12.0,2.0,1.0,3,11,27.3,2,8,25.0,4,5,80.0,36.4,45.5,25,0,0,36.4,36.4,45.5,45.5,12.0,12.0,25.0,25.0
2025-10-31,UTAH,Utah Jazz,Ace Bailey,6.0,8.0,3.0,2,8,25.0,0,3,0.0,2,2,100.0,25.0,33.8,23,0,0,25.0,25.0,33.8,33.8,6.0,6.0,0.0,0.0
2025-10-31,PHI,Philadelphia 76ers,Adem Bona,2.0,3.0,0.0,1,2,50.0,0,0,0.0,0,0,0.0,50.0,50.0,11,0,0,50.0,50.0,50.0,50.0,2.0,2.0,0.0,0.0
2025-10-31,PHI,Philadelphia 76ers,Andre Drummond,6.0,2.0,0.0,1,3,33.3,1,2,50.0,3,4,75.0,50.0,63.0,12,0,0,50.0,50.0,63.0,63.0,6.0,6.0,50.0,50.0
2025-10-31,BOS,Boston Celtics,Anfernee Simons,19.0,4.0,2.0,7,21,33.3,3,9,33.3,2,3,66.7,40.5,42.6,29,0,0,40.5,40.5,42.6,42.6,19.0,19.0,33.3,33.3
2025-10-31,ATL,Atlanta Hawks,Asa Newell,0.0,0.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,LAL,Los Angeles Lakers,Austin Reaves,21.0,4.0,4.0,5,14,35.7,2,8,25.0,9,9,100.0,42.9,58.5,36,0,0,42.9,42.9,58.5,58.5,21.0,21.0,25.0,25.0
2025-10-31,CHI,Chicago Bulls,Ayo Dosunmu,22.0,4.0,9.0,8,10,80.0,1,3,33.3,5,6,83.3,85.0,87.0,29,0,0,85.0,85.0,87.0,87.0,22.0,22.0,33.3,33.3
2025-10-31,BOS,Boston Celtics,Baylor Scheierman,0.0,0.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,IND,Indiana Pacers,Ben Sheppard,4.0,7.0,1.0,2,9,22.2,0,5,0.0,0,0,0.0,22.2,22.2,29,0,0,22.2,22.2,22.2,22.2,4.0,4.0,0.0,0.0
2025-10-31,POR,Portland Trail Blazers,Blake Wesley,5.0,0.0,2.0,2,5,40.0,0,1,0.0,1,2,50.0,40.0,42.5,10,0,0,40.0,40.0,42.5,42.5,5.0,5.0,0.0,0.0
2025-10-31,LAC,LA Clippers,Bradley Beal,9.0,1.0,2.0,3,8,37.5,1,2,50.0,2,2,100.0,43.8,50.7,21,0,0,43.8,43.8,50.7,50.7,9.0,9.0,50.0,50.0
2025-10-31,TOR,Toronto Raptors,Brandon Ingram,20.0,8.0,5.0,7,15,46.7,0,3,0.0,6,7,85.7,46.7,55.3,35,0,0,46.7,46.7,55.3,55.3,20.0,20.0,0.0,0.0
2025-10-31,UTAH,Utah Jazz,Brice Sensabaugh,3.0,0.0,0.0,1,4,25.0,1,3,33.3,0,0,0.0,37.5,37.5,5,0,0,37.5,37.5,37.5,37.5,3.0,3.0,33.3,33.3
2025-10-31,LAC,LA Clippers,Brook Lopez,3.0,3.0,0.0,1,5,20.0,0,3,0.0,1,2,50.0,20.0,25.5,14,0,0,20.0,20.0,25.5,25.5,3.0,3.0,0.0,0.0
2025-10-31,DEN,Denver Nuggets,Bruce Brown,5.0,3.0,0.0,2,5,40.0,0,2,0.0,1,2,50.0,40.0,42.5,20,0,0,40.0,40.0,42.5,42.5,5.0,5.0,0.0,0.0
2025-10-31,ATL,Atlanta Hawks,Caleb Houstan,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31,MEM,Memphis Grizzlies,Cam Spencer,12.0,0.0,3.0,3,6,50.0,2,5,40.0,4,4,100.0,66.7,77.3,19,0,0,66.7,66.7,77.3,77.3,12.0,12.0,40.0,40.0
2025-10-31,DEN,Denver Nuggets,Cameron Johnson,9.0,6.0,1.0,3,7,42.9,1,3,33.3,2,2,100.0,50.0,57.1,31,0,0,50.0,50.0,57.1,57.1,9.0,9.0,33.3,33.3
2025-10-31,MEM,Memphis Grizzlies,Cedric Coward,13.0,10.0,3.0,4,11,36.4,0,4,0.0,5,6,83.3,36.4,47.7,26,0,0,36.4,36.4,47.7,47.7,13.0,13.0,0.0,0.0
2025-10-31,LAC,LA Clippers,Chris Paul,3.0,1.0,4.0,1,4,25.0,1,2,50.0,0,0,0.0,37.5,37.5,9,0,0,37.5,37.5,37.5,37.5,3.0,3.0,50.0,50.0
2025-10-31,DEN,Denver Nuggets,Christian Braun,5.0,3.0,1.0,2,6,33.3,0,3,0.0,1,2,50.0,33.3,36.3,30,0,0,33.3,33.3,36.3,36.3,5.0,5.0,0.0,0.0
2025-10-31,UTAH,Utah Jazz,Cody Williams,8.0,1.0,0.0,3,6,50.0,2,4,50.0,0,0,0.0,66.7,66.7,15,0,0,66.7,66.7,66.7,66.7,8.0,8.0,50.0,50.0
