GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-10-30,MIL,Milwaukee Bucks,AJ Green,10.0,2.0,0.0,3,7,42.9,3,7,42.9,1,2,50.0,64.3,63.5,33,0,0,64.3,64.3,63.5,63.5,10.0,10.0,42.9,42.9
2025-10-30,WSH,Washington Wizards,AJ Johnson,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,OKC,Oklahoma City Thunder,Aaron Wiggins,8.0,4.0,3.0,3,11,27.3,0,6,0.0,2,4,50.0,27.3,31.3,24,0,0,27.3,27.3,31.3,31.3,8.0,8.0,0.0,0.0
2025-10-30,OKC,Oklahoma City Thunder,Ajay Mitchell,20.0,1.0,2.0,6,15,40.0,2,7,28.6,6,6,100.0,46.7,56.7,30,0,0,46.7,46.7,56.7,56.7,20.0,20.0,28.6,28.6
2025-10-30,GS,Golden State Warriors,Al Horford,3.0,2.0,2.0,1,6,16.7,1,4,25.0,0,0,0.0,25.0,25.0,20,0,0,25.0,25.0,25.0,25.0,3.0,3.0,25.0,25.0
2025-10-30,OKC,Oklahoma City Thunder,Alex Caruso,0.0,2.0,2.0,0,5,0.0,0,3,0.0,0,0,0.0,0.0,0.0,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,WSH,Washington Wizards,Alex Sarr,14.0,8.0,2.0,5,11,45.5,2,3,66.7,2,2,100.0,54.5,58.9,26,0,0,54.5,54.5,58.9,58.9,14.0,14.0,66.7,66.7
2025-10-30,MIL,Milwaukee Bucks,Amir Coffey,0.0,3.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,MIA,Miami Heat,Andrew Wiggins,24.0,6.0,2.0,11,18,61.1,2,5,40.0,0,2,0.0,66.7,63.6,35,0,0,66.7,66.7,63.6,63.6,24.0,24.0,40.0,40.0
2025-10-30,ORL,Orlando Magic,Anthony Black,20.0,1.0,2.0,8,13,61.5,3,6,50.0,1,1,100.0,73.1,74.4,31,0,0,73.1,73.1,74.4,74.4,20.0,20.0,50.0,50.0
2025-10-30,MIA,Miami Heat,Bam Adebayo,31.0,10.0,3.0,12,27,44.4,4,13,30.8,3,4,75.0,51.9,53.9,37,1,1,51.9,51.9,53.9,53.9,31.0,31.0,30.8,30.8
2025-10-30,WSH,Washington Wizards,Bilal Coulibaly,16.0,8.0,4.0,6,12,50.0,2,7,28.6,2,2,100.0,58.3,62.1,24,0,0,58.3,58.3,62.1,62.1,16.0,16.0,28.6,28.6
2025-10-30,SA,San Antonio Spurs,Bismack Biyombo,0.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-30,MIL,Milwaukee Bucks,Bobby Portis,12.0,5.0,2.0,5,10,50.0,2,3,66.7,0,0,0.0,60.0,60.0,19,0,0,60.0,60.0,60.0,60.0,12.0,12.0,66.7,66.7
