GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,STL,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT
2025-11-07,MIL,Milwaukee Bucks,AJ Green,6.0,4.0,5.0,0.0,2,8,25.0,2,8,25.0,0,0,0.0,37.5,37.5,35,0,0,0,0,0,0,0,6.0,6.0,25.0,25.0
2025-11-07,WSH,Washington Wizards,AJ Johnson,4.0,0.0,2.0,0.0,1,4,25.0,0,2,0.0,2,2,100.0,25.0,41.0,9,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
2025-11-07,DEN,Denver Nuggets,Aaron Gordon,18.0,3.0,1.0,1.0,6,12,50.0,3,5,60.0,3,4,75.0,62.5,65.4,24,0,0,1,0,0,0,1,18.0,18.0,60.0,60.0
2025-11-07,UTAH,Utah Jazz,Ace Bailey,12.0,6.0,3.0,1.0,4,9,44.4,2,4,50.0,2,2,100.0,55.6,60.7,24,0,0,1,1,0,0,1,12.0,12.0,50.0,50.0
2025-11-07,OKC,Oklahoma City Thunder,Ajay Mitchell,18.0,5.0,10.0,3.0,5,12,41.7,2,2,100.0,6,6,100.0,50.0,61.5,31,0,0,1,1,1,0,0,18.0,18.0,100.0,100.0
2025-11-07,OKC,Oklahoma City Thunder,Alex Caruso,3.0,2.0,5.0,1.0,1,3,33.3,0,1,0.0,1,2,50.0,33.3,38.7,22,0,0,0,0,0,0,0,3.0,3.0,0.0,0.0
2025-11-07,WSH,Washington Wizards,Alex Sarr,20.0,4.0,4.0,1.0,10,17,58.8,0,4,0.0,0,2,0.0,58.8,55.9,30,0,0,1,0,1,0,1,20.0,20.0,0.0,0.0
2025-11-07,HOU,Houston Rockets,Alperen Sengun,25.0,9.0,8.0,1.0,10,22,45.5,1,6,16.7,4,5,80.0,47.7,51.7,36,0,0,1,0,1,0,0,25.0,25.0,16.7,16.7
2025-11-07,HOU,Houston Rockets,Amen Thompson,14.0,7.0,3.0,1.0,4,12,33.3,2,4,50.0,4,4,100.0,41.7,50.9,39,0,0,0,0,0,0,0,14.0,14.0,50.0,50.0
2025-11-07,MIL,Milwaukee Bucks,Amir Coffey,2.0,2.0,1.0,0.0,1,2,50.0,0,0,0.0,0,0,0.0,50.0,50.0,10,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
2025-11-07,MIA,Miami Heat,Andrew Wiggins,22.0,4.0,4.0,1.0,9,16,56.2,4,6,66.7,0,0,0.0,68.8,68.8,36,0,1,1,0,1,0,0,22.0,22.0,66.7,66.7
2025-11-07,BOS,Boston Celtics,Anfernee Simons,11.0,2.0,2.0,0.0,4,8,50.0,3,6,50.0,0,0,0.0,68.8,68.8,18,0,0,0,0,0,0,0,11.0,11.0,50.0,50.0
2025-11-07,ORL,Orlando Magic,Anthony Black,13.0,4.0,4.0,4.0,5,11,45.5,2,5,40.0,1,2,50.0,54.5,54.7,33,0,0,1,1,1,0,0,13.0,13.0,40.0,40.0
2025-11-07,MIN,Minnesota Timberwolves,Anthony Edwards,37.0,5.0,1.0,1.0,12,21,57.1,7,12,58.3,6,7,85.7,73.8,76.8,26,1,1,1,0,0,0,1,37.0,37.0,58.3,58.3
2025-11-07,WSH,Washington Wizards,Anthony Gill,3.0,0.0,0.0,0.0,1,1,100.0,1,1,100.0,0,0,0.0,150.0,150.0,2,0,0,0,0,0,0,0,3.0,3.0,100.0,100.0
2025-11-07,DET,Detroit Pistons,Ausar Thompson,14.0,6.0,4.0,3.0,7,14,50.0,0,0,0.0,0,0,0.0,50.0,50.0,34,0,0,0,0,1,0,1,14.0,14.0,0.0,0.0
2025-11-07,CHI,Chicago Bulls,Ayo Dosunmu,7.0,0.0,3.0,2.0,3,6,50.0,1,3,33.3,0,0,0.0,58.3,58.3,20,0,0,0,0,1,0,0,7.0,7.0,33.3,33.3
2025-11-07,MIL,Milwaukee Bucks,Bobby Portis,7.0,5.0,2.0,0.0,3,5,60.0,1,2,50.0,0,0,0.0,70.0,70.0,20,0,0,0,0,0,0,0,7.0,7.0,50.0,50.0
2025-11-07,DET,Detroit Pistons,Bobi Klintman,4.0,5.0,1.0,0.0,2,6,33.3,0,3,0.0,0,2,0.0,33.3,29.1,15,0,0,0,0,0,0,0,4.0,4.0,0.0,0.0
2025-11-07,MIN,Minnesota Timberwolves,Bones Hyland,12.0,1.0,3.0,0.0,4,4,100.0,2,2,100.0,2,2,100.0,125.0,123.0,9,0,0,0,0,0,0,0,12.0,12.0,100.0,100.0
2025-11-07,GS,Golden State Warriors,Brandin Podziemski,7.0,2.0,3.0,0.0,3,10,30.0,1,4,25.0,0,0,0.0,35.0,35.0,25,0,0,0,0,0,0,0,7.0,7.0,25.0,25.0
2025-11-07,TOR,Toronto Raptors,Brandon Ingram,20.0,6.0,4.0,1.0,7,19,36.8,2,8,25.0,4,4,100.0,42.1,48.2,35,0,0,1,1,1,0,0,20.0,20.0,25.0,25.0
2025-11-07,DAL,Dallas Mavericks,Brandon Williams,11.0,1.0,3.0,2.0,5,8,62.5,0,2,0.0,1,1,100.0,62.5,65.2,22,0,0,0,0,0,0,0,11.0,11.0,0.0,0.0
2025-11-07,UTAH,Utah Jazz,Brice Sensabaugh,5.0,0.0,3.0,0.0,2,12,16.7,1,9,11.1,0,0,0.0,20.8,20.8,23,0,0,0,0,0,0,0,5.0,5.0,11.1,11.1
2025-11-07,OKC,Oklahoma City Thunder,Brooks Barnhizer,0.0,2.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-07,DEN,Denver Nuggets,Bruce Brown,6.0,1.0,1.0,0.0,1,4,25.0,0,1,0.0,4,4,100.0,25.0,52.1,18,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0
2025-11-07,WSH,Washington Wizards,Bub Carrington,6.0,4.0,11.0,0.0,2,12,16.7,2,7,28.6,0,0,0.0,25.0,25.0,28,0,0,0,0,0,0,0,6.0,6.0,28.6,28.6
2025-11-07,GS,Golden State Warriors,Buddy Hield,8.0,0.0,0.0,0.0,3,7,42.9,2,3,66.7,0,0,0.0,57.1,57.1,20,0,0,0,0,0,0,0,8.0,8.0,66.7,66.7
2025-11-07,WSH,Washington Wizards,CJ McCollum,25.0,2.0,3.0,1.0,8,16,50.0,6,13,46.2,3,4,75.0,68.8,70.4,28,0,1,0,0,0,0,0,25.0,25.0,46.2,46.2
2025-11-07,DET,Detroit Pistons,Cade Cunningham,34.0,1.0,10.0,1.0,13,18,72.2,2,6,33.3,6,6,100.0,77.8,82.4,33,1,0,1,0,1,0,0,34.0,34.0,33.3,33.3
2025-11-07,DAL,Dallas Mavericks,Caleb Martin,0.0,3.0,0.0,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-07,MEM,Memphis Grizzlies,Cam Spencer,12.0,2.0,2.0,2.0,5,9,55.6,2,4,50.0,0,0,0.0,66.7,66.7,19,0,0,1,0,0,0,0,12.0,12.0,50.0,50.0
2025-11-07,WSH,Washington Wizards,Cam Whitmore,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0.0,0.0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-07,DEN,Denver Nuggets,Cameron Johnson,0.0,1.0,4.0,1.0,0,3,0.0,0,2,0.0,0,0,0.0,0.0,0.0,25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-07,DET,Detroit Pistons,Caris LeVert,10.0,3.0,4.0,1.0,3,6,50.0,1,4,25.0,3,4,75.0,58.3,64.4,20,0,0,1,1,0,0,0,10.0,10.0,25.0,25.0
2025-11-07,OKC,Oklahoma City Thunder,Cason Wallace,15.0,2.0,2.0,1.0,6,8,75.0,3,4,75.0,0,0,0.0,93.8,93.8,27,0,0,1,0,0,0,0,15.0,15.0,75.0,75.0
2025-11-07,MEM,Memphis Grizzlies,Cedric Coward,21.0,9.0,4.0,0.0,7,10,70.0,3,5,60.0,4,4,100.0,85.0,89.3,28,0,0,1,1,1,0,0,21.0,21.0,60.0,60.0
2025-11-07,DET,Detroit Pistons,Chaz Lanier,0.0,1.0,0.0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-07,OKC,Oklahoma City Thunder,Chet Holmgren,10.0,7.0,1.0,0.0,4,9,44.4,0,4,0.0,2,2,100.0,44.4,50.6,21,0,0,0,0,0,0,0,10.0,10.0,0.0,0.0
2025-11-07,OKC,Oklahoma City Thunder,Chris Youngblood,0.0,0.0,0.0,0.0,0,2,0.0,0,2,0.0,0,0,0.0,0.0,0.0,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-07,DEN,Denver Nuggets,Christian Braun,12.0,7.0,4.0,1.0,5,11,45.5,1,4,25.0,1,2,50.0,50.0,50.5,32,0,0,0,1,0,0,1,12.0,12.0,25.0,25.0
2025-11-07,HOU,Houston Rockets,Clint Capela,0.0,3.0,1.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2025-11-07,UTAH,Utah Jazz,Cody Williams,5.0,1.0,0.0,1.0,2,6,33.3,0,2,0.0,1,2,50.0,33.3,36.3,10,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0
2025-11-07,MIL,Milwaukee Bucks,Cole Anthony,11.0,2.0,5.0,1.0,5,14,35.7,1,5,20.0,0,0,0.0,39.3,39.3,22,0,0,1,0,1,0,0,11.0,11.0,20.0,20.0
2025-11-07,TOR,Toronto Raptors,Collin Murray-Boyles,3.0,4.0,1.0,0.0,1,4,25.0,1,2,50.0,0,0,0.0,37.5,37.5,18,0,0,0,0,0,0,0,3.0,3.0,50.0,50.0
2025-11-07,DAL,Dallas Mavericks,Cooper Flagg,12.0,6.0,2.0,1.0,5,10,50.0,1,4,25.0,1,2,50.0,55.0,55.1,27,0,0,0,0,0,0,0,12.0,12.0,25.0,25.0
2025-11-07,WSH,Washington Wizards,Corey Kispert,16.0,3.0,4.0,1.0,5,8,62.5,2,4,50.0,4,4,100.0,75.0,82.0,20,0,0,1,0,0,0,0,16.0,16.0,50.0,50.0
2025-11-07,CLE,Cleveland Cavaliers,Craig Porter Jr.,2.0,5.0,2.0,0.0,1,4,25.0,0,1,0.0,0,0,0.0,25.0,25.0,16,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
2025-11-07,DAL,Dallas Mavericks,D'Angelo Russell,9.0,3.0,5.0,0.0,4,5,80.0,0,0,0.0,1,2,50.0,80.0,76.5,16,0,0,0,0,0,0,0,9.0,9.0,0.0,0.0
2025-11-07,CHI,Chicago Bulls,Dalen Terry,2.0,1.0,1.0,0.0,1,1,100.0,0,0,0.0,0,0,0.0,100.0,100.0,5,0,0,0,0,0,0,0,2.0,2.0,0.0,0.0
