GAME_DATE,TEAM,TEAM_FULL,PLAYER,PTS,REB,AST,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,EFG_PCT,TS_PCT,MIN,didHit30,didHit4Threes,r3_EFG,r5_EFG,r3_TS,r5_TS,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,STL,didHitOver_PTS,didHitOver_REB,didHitOver_AST,didHitOver_FG3M,didHitOver_STL
2025-10-28,OKC,Oklahoma City Thunder,Chris Youngblood,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2025-10-28,MIL,Milwaukee Bucks,Cole Anthony,4.0,4.0,9.0,2,7,28.6,0,4,0.0,0,0,0.0,28.6,28.6,24,0,0,28.6,28.6,28.6,28.6,4.0,4.0,0.0,0.0,,,,,,
2025-10-28,CHA,Charlotte Hornets,Collin Sexton,18.0,5.0,6.0,7,11,63.6,2,2,100.0,2,2,100.0,72.7,75.8,27,0,0,72.7,72.7,75.8,75.8,18.0,18.0,100.0,100.0,,,,,,
2025-10-28,WSH,Washington Wizards,Corey Kispert,13.0,5.0,1.0,5,11,45.5,2,8,25.0,1,3,33.3,54.5,52.8,25,0,0,54.5,54.5,52.8,52.8,13.0,13.0,25.0,25.0,,,,,,
2025-10-28,MIA,Miami Heat,Davion Mitchell,8.0,4.0,9.0,4,10,40.0,0,5,0.0,0,0,0.0,40.0,40.0,30,0,0,40.0,40.0,40.0,40.0,8.0,8.0,0.0,0.0,,,,,,
2025-10-28,SAC,Sacramento Kings,DeMar DeRozan,19.0,1.0,3.0,7,14,50.0,0,2,0.0,5,6,83.3,50.0,57.1,33,0,0,50.0,50.0,57.1,57.1,19.0,19.0,0.0,0.0,,,,,,
2025-10-28,SAC,Sacramento Kings,Dennis Schroder,8.0,5.0,3.0,4,9,44.4,0,3,0.0,0,0,0.0,44.4,44.4,32,0,0,44.4,44.4,44.4,44.4,8.0,8.0,0.0,0.0,,,,,,
2025-10-28,LAC,LA Clippers,Derrick Jones Jr.,3.0,2.0,1.0,1,6,16.7,1,6,16.7,0,0,0.0,25.0,25.0,23,0,0,25.0,25.0,25.0,25.0,3.0,3.0,16.7,16.7,,,,,,
2025-10-28,SAC,Sacramento Kings,Devin Carter,4.0,1.0,1.0,1,1,100.0,0,0,0.0,2,2,100.0,100.0,106.4,9,0,0,100.0,100.0,106.4,106.4,4.0,4.0,0.0,0.0,,,,,,
2025-10-28,SAC,Sacramento Kings,Domantas Sabonis,10.0,18.0,3.0,5,15,33.3,0,2,0.0,0,0,0.0,33.3,33.3,35,0,0,33.3,33.3,33.3,33.3,10.0,10.0,0.0,0.0,,,,,,
2025-10-28,GS,Golden State Warriors,Draymond Green,7.0,7.0,4.0,3,7,42.9,1,3,33.3,0,0,0.0,50.0,50.0,31,0,0,50.0,50.0,50.0,50.0,7.0,7.0,33.3,33.3,,,,,,
2025-10-28,SAC,Sacramento Kings,Drew Eubanks,0.0,4.0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
