PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Jordan Walsh,BOS,Boston Celtics,2025-11-09,5.0,5.0,50.0,38.0,73.6111111111111,54.166666666666664,73.6111111111111,54.166666666666664
Jalen Wilson,BKN,Brooklyn Nets,2025-11-09,5.0,4.8,41.666666666666664,25.0,55.0,43.0,55.0,47.887005649717516
Josh Minott,BOS,Boston Celtics,2025-11-09,11.0,9.0,33.333333333333336,26.666666666666664,50.19841269841269,41.39177489177489,52.55462370337674,43.95028263953446
John Konchar,MEM,Memphis Grizzlies,2025-11-09,1.0,2.8,33.333333333333336,50.0,50.0,76.66666666666667,50.0,76.66666666666667
Isaiah Joe,OKC,Oklahoma City Thunder,2025-11-09,12.0,14.2,36.19047619047619,39.714285714285715,51.52777777777777,58.416666666666664,54.19780149955522,60.43275957468137
Zach LaVine,SAC,Sacramento Kings,2025-11-09,16.666666666666668,22.2,51.11111111111111,44.8974358974359,65.79322638146168,66.10132282578103,68.75608197824585,70.19049754738185
Alex Caruso,OKC,Oklahoma City Thunder,2025-11-09,5.333333333333333,4.8,18.88888888888889,24.666666666666664,41.666666666666664,41.0,47.221223261141745,44.33273395668505
Landry Shamet,NY,New York Knicks,2025-11-09,7.333333333333333,7.0,61.11111111111111,60.666666666666664,86.66666666666667,73.0,89.39482438987227,75.43961572235874
Ziaire Williams,BKN,Brooklyn Nets,2025-11-09,7.333333333333333,9.8,28.888888888888886,29.238095238095234,41.666666666666664,47.22222222222222,44.310601585191755,52.234036810600365
Hugo Gonzalez,BOS,Boston Celtics,2025-11-09,2.6666666666666665,3.4,66.66666666666667,46.666666666666664,70.83333333333333,71.25,70.83333333333333,71.25
Devin Carter,SAC,Sacramento Kings,2025-11-09,0.6666666666666666,0.4,0.0,0.0,0.0,0.0,8.591065292096221,5.154639175257733
Tyrese Maxey,PHI,Philadelphia 76ers,2025-11-09,30.333333333333332,31.2,34.44444444444444,41.55555555555556,52.46794871794872,56.13663967611336,57.210565256280155,60.680211166230684
Domantas Sabonis,SAC,Sacramento Kings,2025-11-09,19.0,17.0,0.0,5.0,46.983408748114634,46.99956905839259,56.37364316534926,52.58762675942461
Leonard Miller,MIN,Minnesota Timberwolves,2025-11-09,3.3333333333333335,3.0,0.0,0.0,66.66666666666667,62.5,63.45381526104418,60.09036144578313
Josh Hart,NY,New York Knicks,2025-11-09,13.666666666666666,11.0,60.0,41.0,79.76190476190476,58.857142857142854,79.76190476190476,60.224634023220595
Tyus Jones,ORL,Orlando Magic,2025-11-09,0.0,2.2,0.0,6.666666666666666,0.0,27.5,0.0,27.5
Tyson Etienne,BKN,Brooklyn Nets,2025-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wendell Carter Jr.,ORL,Orlando Magic,2025-11-09,13.666666666666666,15.0,36.11111111111111,47.0,55.416666666666664,65.91666666666667,61.96377840333588,69.90689157731751
Al Horford,GS,Golden State Warriors,2025-11-09,5.333333333333333,4.2,22.222222222222218,18.333333333333332,50.0,39.0,50.0,39.0
Donte DiVincenzo,MIN,Minnesota Timberwolves,2025-11-09,10.666666666666666,15.0,29.040404040404038,34.98834498834499,45.51587301587301,52.39355742296918,50.56594329264354,55.76256618192768
E.J. Liddell,BKN,Brooklyn Nets,2025-11-09,2.0,2.0,16.666666666666668,16.666666666666668,41.666666666666664,41.666666666666664,39.81481481481482,39.81481481481482
Isaiah Hartenstein,OKC,Oklahoma City Thunder,2025-11-09,20.333333333333332,17.0,0.0,0.0,76.6934046345811,76.49223325693913,78.39676553669698,78.39986611987149
Adem Bona,PHI,Philadelphia 76ers,2025-11-09,2.0,2.0,0.0,0.0,11.111111111111109,26.666666666666664,30.55100927441353,38.33060556464811
Kevin Durant,HOU,Houston Rockets,2025-11-09,22.0,22.6,66.66666666666667,58.33333333333333,52.59259259259259,55.6969696969697,56.41086887093661,61.18824980281037
Karl-Anthony Towns,NY,New York Knicks,2025-11-09,25.333333333333332,23.6,19.166666666666668,35.5,55.02450980392157,53.20951107715814,62.64470879856183,63.610373169459635
Egor Demin,BKN,Brooklyn Nets,2025-11-09,6.0,5.0,30.0,28.0,44.44444444444445,44.16666666666667,44.44444444444445,44.166666666666664
Keon Ellis,SAC,Sacramento Kings,2025-11-09,2.6666666666666665,5.2,25.0,37.5,22.5,47.25,27.07650273224043,49.99590163934426
Kentavious Caldwell-Pope,MEM,Memphis Grizzlies,2025-11-09,8.333333333333334,7.8,30.555555555555554,26.333333333333332,51.48809523809524,37.0467032967033,54.15202966432474,44.719659755145564
Eric Gordon,PHI,Philadelphia 76ers,2025-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Payton II,GS,Golden State Warriors,2025-11-09,1.6666666666666667,1.0,33.333333333333336,20.0,66.66666666666667,40.0,66.66666666666667,40.0
Will Richard,GS,Golden State Warriors,2025-11-09,19.0,13.8,27.5,46.5,62.77777777777778,79.33333333333334,68.51334426813143,82.08022878310108
Jonathan Kuminga,GS,Golden State Warriors,2025-11-09,11.666666666666666,12.2,13.333333333333334,14.666666666666666,29.493177387914226,38.49947786131996,34.92121041955324,43.1205904926737
Kelly Oubre Jr.,PHI,Philadelphia 76ers,2025-11-09,17.0,19.6,27.77777777777777,33.33333333333333,51.741452991452995,58.447469197469196,53.77345878278742,60.66970376670863
GG Jackson,MEM,Memphis Grizzlies,2025-11-09,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,18.93939393939394,18.93939393939394
Franz Wagner,ORL,Orlando Magic,2025-11-09,21.666666666666668,22.2,17.857142857142858,28.71428571428571,42.63616557734205,46.930383556931545,53.930375285477474,56.12144723324129
Gary Trent Jr.,MIL,Milwaukee Bucks,2025-11-09,6.666666666666667,9.6,43.333333333333336,45.333333333333336,59.25925925925926,63.05555555555556,59.25925925925926,62.574189095928226
AJ Green,MIL,Milwaukee Bucks,2025-11-09,6.0,9.6,40.0,42.0,60.0,64.33333333333334,60.0,63.83839740361479
Giannis Antetokounmpo,MIL,Milwaukee Bucks,2025-11-09,33.333333333333336,31.8,11.111111111111109,36.666666666666664,57.2827380952381,61.25608974358975,60.374264864630334,63.01565013445188
Jordan Clarkson,NY,New York Knicks,2025-11-09,11.0,10.8,35.55555555555555,36.33333333333333,67.3611111111111,61.5530303030303,69.18514544587505,66.42564639261047
Kyle Kuzma,MIL,Milwaukee Bucks,2025-11-09,13.333333333333334,15.4,46.666666666666664,34.666666666666664,70.23809523809524,66.98901098901099,71.87329600710548,70.78422869657012
Drake Powell,BKN,Brooklyn Nets,2025-11-09,7.666666666666667,7.666666666666667,33.333333333333336,33.333333333333336,74.70238095238095,74.70238095238095,75.77220077220078,75.77220077220078
Jalen Suggs,ORL,Orlando Magic,2025-11-09,15.333333333333334,12.0,61.11111111111111,43.33333333333333,79.16666666666667,61.0,81.77342504959833,67.96728083621062
Draymond Green,GS,Golden State Warriors,2025-11-09,7.333333333333333,7.4,33.333333333333336,36.666666666666664,56.94444444444445,56.16666666666667,51.851851851851855,54.71655328798185
Drew Eubanks,SAC,Sacramento Kings,2025-11-09,11.333333333333334,10.8,0.0,0.0,68.68686868686869,77.87878787878789,67.01687747084745,74.53506927427048
Johnny Juzang,MIN,Minnesota Timberwolves,2025-11-09,1.6666666666666667,1.6666666666666667,33.333333333333336,33.333333333333336,61.11111111111111,61.11111111111111,61.11111111111111,61.11111111111111
Gui Santos,GS,Golden State Warriors,2025-11-09,1.3333333333333333,1.8,11.111111111111109,26.666666666666664,16.666666666666668,35.0,25.531914893617017,40.31914893617021
Josh Okogie,HOU,Houston Rockets,2025-11-09,8.333333333333334,7.8,42.22222222222222,37.33333333333333,47.88359788359788,46.73015873015873,49.45478473397255,50.825710674542044
VJ Edgecombe,PHI,Philadelphia 76ers,2025-11-09,9.666666666666666,11.4,16.666666666666668,30.0,31.216931216931215,38.73015873015873,35.13570839605432,42.8205554724152
Guerschon Yabusele,NY,New York Knicks,2025-11-09,3.6666666666666665,2.8,25.0,25.0,36.111111111111114,31.666666666666668,44.3036464299351,36.58218785796106
Duncan Robinson,DET,Detroit Pistons,2025-11-09,11.0,12.4,39.81481481481482,40.55555555555556,62.08513708513709,61.88744588744589,61.4778129372038,62.4970773727119
Ajay Mitchell,OKC,Oklahoma City Thunder,2025-11-09,20.0,15.6,55.55555555555555,33.33333333333333,57.878787878787875,47.72727272727273,66.2328127167445,56.42024318560226
Isaiah Jackson,IND,Indiana Pacers,2025-11-09,8.0,11.0,0.0,0.0,51.11111111111111,52.0,54.30637738330046,60.017093960664326
Julius Randle,MIN,Minnesota Timberwolves,2025-11-09,23.333333333333332,23.8,33.333333333333336,30.0,57.19246031746032,58.52600250626566,63.37861615899118,65.03321726419088
Vince Williams Jr.,MEM,Memphis Grizzlies,2025-11-09,4.333333333333333,6.2,33.333333333333336,30.0,43.333333333333336,43.142857142857146,45.01133786848073,53.17666152755519
Goga Bitadze,ORL,Orlando Magic,2025-11-09,2.0,5.4,0.0,30.0,50.0,61.25,52.12765957446808,63.54010925819436
Desmond Bane,ORL,Orlando Magic,2025-11-09,13.333333333333334,10.8,30.0,24.666666666666664,51.48148148148149,46.494949494949495,55.500342892668186,49.50067193606712
Miles McBride,NY,New York Knicks,2025-11-09,5.666666666666667,6.6,30.0,36.0,40.0,42.88888888888889,40.0,42.88888888888889
Tyrese Martin,BKN,Brooklyn Nets,2025-11-09,7.666666666666667,7.0,25.71428571428571,23.428571428571427,37.337662337662344,32.40259740259741,35.541927208593876,31.925863038937244
Payton Pritchard,BOS,Boston Celtics,2025-11-09,16.666666666666668,16.4,37.5,34.772727272727266,54.513888888888886,55.70833333333333,56.76187082102977,58.42461365869559
Jaylen Wells,MEM,Memphis Grizzlies,2025-11-09,9.333333333333334,7.8,61.11111111111111,41.666666666666664,70.7936507936508,51.6969696969697,69.58496132059189,50.971756013134346
Steven Adams,HOU,Houston Rockets,2025-11-09,6.333333333333333,7.0,0.0,0.0,54.36507936507936,62.61904761904761,53.82410250535219,63.069655301660916
Bobby Portis,MIL,Milwaukee Bucks,2025-11-09,6.666666666666667,8.8,50.0,51.33333333333333,65.0,65.98412698412699,59.3287037037037,63.22012563459932
Caris LeVert,DET,Detroit Pistons,2025-11-09,11.333333333333334,8.6,48.333333333333336,49.0,69.44444444444444,60.0,72.46889464465153,61.814670120124255
Paul Reed,DET,Detroit Pistons,2025-11-09,4.0,2.4,0.0,0.0,72.22222222222221,43.33333333333333,64.66208476517755,38.79725085910653
