PLAYER,TEAM,TEAM_FULL,TEAM_SIDE,PTS,REB,AST,FG3M,MIN,ARENA,CITY,STATE,GAME_DATE
Terrence Shannon Jr.,MIN,Minnesota Timberwolves,Away,3.9,2.4,1.1,0.6,16.5,Delta Center,Salt Lake City,UT,2025-11-10
Bogdan Bogdanović,LAC,Los Angeles Clippers,Home,6.3,4.0,2.5,1.0,22.7,Intuit Dome,Los Angeles,CA,2025-11-10
Bradley Beal,LAC,Los Angeles Clippers,Home,8.2,0.8,1.7,1.2,20.2,Intuit Dome,Los Angeles,CA,2025-11-10
Brook Lopez,LAC,Los Angeles Clippers,Home,7.0,2.7,0.2,1.4,15.8,Intuit Dome,Los Angeles,CA,2025-11-10
Cam Christie,LAC,Los Angeles Clippers,Home,6.5,1.8,0.7,1.0,11.3,Intuit Dome,Los Angeles,CA,2025-11-10
Chris Paul,LAC,Los Angeles Clippers,Home,2.3,1.8,3.6,0.6,12.9,Intuit Dome,Los Angeles,CA,2025-11-10
Derrick Jones Jr.,LAC,Los Angeles Clippers,Home,10.8,2.2,0.9,1.7,24.5,Intuit Dome,Los Angeles,CA,2025-11-10
Ivica Zubac,LAC,Los Angeles Clippers,Home,15.1,10.4,2.6,0.0,29.5,Intuit Dome,Los Angeles,CA,2025-11-10
Jahmyl Telfort,LAC,Los Angeles Clippers,Home,0.3,0.7,0.3,0.0,5.3,Intuit Dome,Los Angeles,CA,2025-11-10
James Harden,LAC,Los Angeles Clippers,Home,22.0,4.6,9.1,3.4,34.5,Intuit Dome,Los Angeles,CA,2025-11-10
John Collins,LAC,Los Angeles Clippers,Home,13.3,4.9,1.0,1.1,24.6,Intuit Dome,Los Angeles,CA,2025-11-10
Kawhi Leonard,LAC,Los Angeles Clippers,Home,24.3,5.7,3.5,2.3,33.5,Intuit Dome,Los Angeles,CA,2025-11-10
Kobe Brown,LAC,Los Angeles Clippers,Home,0.8,2.2,1.2,0.0,7.3,Intuit Dome,Los Angeles,CA,2025-11-10
Kobe Sanders,LAC,Los Angeles Clippers,Home,1.0,0.5,0.5,0.0,4.3,Intuit Dome,Los Angeles,CA,2025-11-10
Kris Dunn,LAC,Los Angeles Clippers,Home,7.2,2.8,2.1,0.9,24.9,Intuit Dome,Los Angeles,CA,2025-11-10
Nicolas Batum,LAC,Los Angeles Clippers,Home,3.0,2.6,0.8,1.0,15.9,Intuit Dome,Los Angeles,CA,2025-11-10
Yanic Konan Niederhäuser,LAC,Los Angeles Clippers,Home,3.8,1.2,0.4,0.0,4.5,Intuit Dome,Los Angeles,CA,2025-11-10
Asa Newell,ATL,Atlanta Hawks,Away,6.8,3.0,0.2,1.2,11.6,Intuit Dome,Los Angeles,CA,2025-11-10
Caleb Houstan,ATL,Atlanta Hawks,Away,2.0,0.5,0.3,0.3,5.9,Intuit Dome,Los Angeles,CA,2025-11-10
Dyson Daniels,ATL,Atlanta Hawks,Away,9.8,6.2,5.1,0.3,33.0,Intuit Dome,Los Angeles,CA,2025-11-10
Jacob Toppin,ATL,Atlanta Hawks,Away,2.0,0.3,0.0,0.0,3.1,Intuit Dome,Los Angeles,CA,2025-11-10
Jalen Johnson,ATL,Atlanta Hawks,Away,20.6,8.4,4.9,0.6,32.0,Intuit Dome,Los Angeles,CA,2025-11-10
Keaton Wallace,ATL,Atlanta Hawks,Away,5.2,1.8,3.1,1.2,14.9,Intuit Dome,Los Angeles,CA,2025-11-10
Kristaps Porziņģis,ATL,Atlanta Hawks,Away,17.6,6.3,3.3,1.6,26.1,Intuit Dome,Los Angeles,CA,2025-11-10
Luke Kennard,ATL,Atlanta Hawks,Away,8.5,2.1,2.0,1.3,25.2,Intuit Dome,Los Angeles,CA,2025-11-10
Mouhamed Gueye,ATL,Atlanta Hawks,Away,7.5,4.4,1.5,1.0,17.7,Intuit Dome,Los Angeles,CA,2025-11-10
N'Faly Dante,ATL,Atlanta Hawks,Away,0.8,1.8,0.0,0.0,3.9,Intuit Dome,Los Angeles,CA,2025-11-10
Nickeil Alexander-Walker,ATL,Atlanta Hawks,Away,17.6,2.6,3.2,2.0,30.9,Intuit Dome,Los Angeles,CA,2025-11-10
Onyeka Okongwu,ATL,Atlanta Hawks,Away,13.0,8.6,2.3,1.1,29.1,Intuit Dome,Los Angeles,CA,2025-11-10
Trae Young,ATL,Atlanta Hawks,Away,17.8,2.0,7.8,1.0,27.8,Intuit Dome,Los Angeles,CA,2025-11-10
Vít Krejčí,ATL,Atlanta Hawks,Away,7.5,2.3,1.2,1.3,17.6,Intuit Dome,Los Angeles,CA,2025-11-10
Zaccharie Risacher,ATL,Atlanta Hawks,Away,12.9,2.3,1.4,1.6,24.8,Intuit Dome,Los Angeles,CA,2025-11-10
