PLAYER,TEAM,TEAM_FULL,GAME_DATE,r3_PTS,r5_PTS,r3_FG3_PCT,r5_FG3_PCT,r3_EFG,r5_EFG,r3_TS,r5_TS
Andre Jackson Jr.,MIL,Milwaukee Bucks,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luguentz Dort,OKC,Oklahoma City Thunder,2025-11-04,8.666666666666666,8.666666666666666,23.333333333333332,23.333333333333332,54.166666666666664,54.166666666666664,57.29477725638369,57.29477725638369
Gary Harris,MIL,Milwaukee Bucks,2025-11-04,1.0,1.0,0.0,0.0,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664
Mark Sears,MIL,Milwaukee Bucks,2025-11-04,8.0,8.0,50.0,50.0,50.0,50.0,70.92198581560282,70.92198581560282
Jared McCain,PHI,Philadelphia 76ers,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jase Richardson,ORL,Orlando Magic,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Penda,ORL,Orlando Magic,2025-11-04,3.3333333333333335,3.5,33.333333333333336,25.0,52.77777777777777,56.25,59.54324169530356,61.324097938144334
Jett Howard,ORL,Orlando Magic,2025-11-04,2.0,1.5,27.777777777777775,20.833333333333332,41.666666666666664,31.25,41.666666666666664,31.25
Luke Kennard,ATL,Atlanta Hawks,2025-11-04,9.0,11.0,25.0,38.75,58.96825396825397,66.10119047619048,66.03436735336327,71.298316498629
Collin Sexton,CHA,Charlotte Hornets,2025-11-04,12.0,14.6,19.444444444444443,46.666666666666664,39.82683982683983,57.01298701298701,48.85111577894628,62.523021120784065
Stephen Curry,GS,Golden State Warriors,2025-11-04,26.333333333333332,24.5,35.55555555555556,32.91666666666667,48.70327993897788,49.86079328756674,54.373772402191584,55.333025380075064
Isaiah Livers,PHX,Phoenix Suns,2025-11-04,0.6666666666666666,0.6666666666666666,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
Jordan Poole,NO,New Orleans Pelicans,2025-11-04,17.333333333333332,15.25,30.911680911680914,26.755189255189254,45.20202020202021,39.583333333333336,54.14345337603436,49.42420445208847
Jonathan Mogbo,TOR,Toronto Raptors,2025-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taurean Prince,MIL,Milwaukee Bucks,2025-11-04,3.0,5.4,33.333333333333336,38.33333333333333,41.666666666666664,56.66666666666667,41.666666666666664,58.661202185792355
Bilal Coulibaly,WSH,Washington Wizards,2025-11-05,8.666666666666666,10.5,20.0,22.142857142857142,29.6969696969697,36.85606060606061,36.312328920828016,42.76219700118001
Branden Carlson,OKC,Oklahoma City Thunder,2025-11-05,4.333333333333333,3.6,8.333333333333334,25.0,39.583333333333336,73.75,39.583333333333336,73.75
Taelon Peter,IND,Indiana Pacers,2025-11-05,2.0,2.25,22.222222222222218,16.666666666666664,29.166666666666668,21.875,29.166666666666668,38.03879310344827
Aaron Wiggins,OKC,Oklahoma City Thunder,2025-11-05,18.0,16.0,56.666666666666664,42.0,66.41148325358851,57.30143540669856,65.56857137619387,57.610735302205356
Aaron Holiday,HOU,Houston Rockets,2025-11-05,2.6666666666666665,2.6666666666666665,16.666666666666668,16.666666666666668,27.777777777777782,27.777777777777782,46.80026389576117,46.80026389576117
Baylor Scheierman,BOS,Boston Celtics,2025-11-05,5.666666666666667,3.4,26.666666666666668,16.0,38.095238095238095,22.857142857142854,38.08243727598566,22.849462365591396
Cam Thomas,BKN,Brooklyn Nets,2025-11-05,18.0,18.25,27.38095238095238,27.678571428571427,33.88157894736842,34.161184210526315,37.7934045063982,38.83533606531102
Ariel Hukporti,NY,New York Knicks,2025-11-05,1.3333333333333333,1.3333333333333333,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
Tyler Kolek,NY,New York Knicks,2025-11-05,0.6666666666666666,1.4,0.0,6.666666666666666,16.666666666666668,20.0,16.666666666666668,20.0
Charles Bassey,MEM,Memphis Grizzlies,2025-11-05,3.5,3.5,0.0,0.0,36.666666666666664,36.666666666666664,37.712249848392965,37.712249848392965
Bam Adebayo,MIA,Miami Heat,2025-11-05,14.666666666666666,20.2,23.333333333333332,32.15384615384615,46.73400673400673,52.78577441077441,49.4985360605026,55.11762080306221
Al Horford,GS,Golden State Warriors,2025-11-05,2.3333333333333335,2.25,8.333333333333334,6.25,25.0,23.75,25.0,23.75
OG Anunoby,NY,New York Knicks,2025-11-05,20.666666666666668,19.4,47.61904761904761,46.19047619047619,61.68929110105581,62.60798025503908,63.391269431537886,64.07194493674001
Pacome Dadiet,NY,New York Knicks,2025-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keshad Johnson,MIA,Miami Heat,2025-11-05,1.0,1.0,0.0,0.0,25.0,25.0,25.0,25.0
Hunter Sallis,PHI,Philadelphia 76ers,2025-11-05,1.0,1.0,0.0,0.0,50.0,50.0,50.0,50.0
Karl-Anthony Towns,NY,New York Knicks,2025-11-05,22.666666666666668,19.6,52.5,35.5,53.598484848484844,44.77813852813853,62.85950965132122,55.77910248629178
Guerschon Yabusele,NY,New York Knicks,2025-11-05,2.0,2.25,16.666666666666668,25.0,27.777777777777782,33.333333333333336,33.56481481481482,37.673611111111114
Landry Shamet,NY,New York Knicks,2025-11-05,7.666666666666667,8.6,77.77777777777777,59.55555555555556,91.66666666666667,73.72727272727272,94.67095851216023,77.07330966374498
Jeff Green,HOU,Houston Rockets,2025-11-05,3.0,3.0,50.0,50.0,75.0,75.0,75.0,75.0
Johni Broome,PHI,Philadelphia 76ers,2025-11-05,2.0,2.0,0.0,0.0,20.0,20.0,20.0,20.0
JD Davison,HOU,Houston Rockets,2025-11-05,2.5,2.5,50.0,50.0,62.5,62.5,43.40277777777778,43.40277777777778
Josh Hart,NY,New York Knicks,2025-11-05,14.666666666666666,9.4,51.666666666666664,36.0,71.90476190476191,49.142857142857146,74.1839138482248,50.51034830893488
Jordan Clarkson,NY,New York Knicks,2025-11-05,12.333333333333334,10.6,41.11111111111111,43.0,67.17171717171716,62.08874458874459,68.99575150648111,66.96136067832477
Jalen Brunson,NY,New York Knicks,2025-11-05,23.333333333333332,27.0,33.073593073593074,31.344155844155843,48.426916221033856,51.45614973262032,53.51566115936574,55.20210062802113
Mikal Bridges,NY,New York Knicks,2025-11-05,11.0,16.0,48.05555555555555,47.404761904761905,57.93650793650793,62.35119047619047,60.03948110547095,64.66749109740758
Miles McBride,NY,New York Knicks,2025-11-05,8.333333333333334,8.25,46.666666666666664,45.0,56.666666666666664,53.611111111111114,56.666666666666664,53.611111111111114
Mitchell Robinson,NY,New York Knicks,2025-11-05,4.0,4.0,0.0,0.0,48.888888888888886,48.888888888888886,46.73202614379085,46.73202614379085
Mohamed Diawara,NY,New York Knicks,2025-11-05,0.6666666666666666,0.5,0.0,0.0,33.333333333333336,25.0,33.333333333333336,25.0
Kobe Brown,LAC,LA Clippers,2025-11-06,0.6666666666666666,0.6666666666666666,0.0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
Khaman Maluach,PHX,Phoenix Suns,2025-11-06,1.3333333333333333,1.3333333333333333,0.0,0.0,33.333333333333336,33.333333333333336,35.46099290780142,35.46099290780142
Chris Paul,LAC,LA Clippers,2025-11-06,1.6666666666666667,1.6,8.333333333333334,15.0,21.11111111111111,20.166666666666664,21.11111111111111,20.166666666666664
Bogdan Bogdanovic,LAC,LA Clippers,2025-11-06,8.333333333333334,8.333333333333334,22.222222222222218,22.222222222222218,40.0,40.0,45.94262295081967,45.94262295081967
Jahmyl Telfort,LAC,LA Clippers,2025-11-06,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,6.03864734299517,6.03864734299517
Yanic Konan Niederhauser,LAC,LA Clippers,2025-11-06,3.0,3.0,0.0,0.0,50.0,50.0,55.49645390070922,55.49645390070922
Nigel Hayes-Davis,PHX,Phoenix Suns,2025-11-06,0.0,1.2,0.0,0.0,0.0,40.0,0.0,40.0
Rasheer Fleming,PHX,Phoenix Suns,2025-11-06,0.6666666666666666,0.6666666666666666,0.0,0.0,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668
Bones Hyland,MIN,Minnesota Timberwolves,2025-11-07,4.0,4.6,33.333333333333336,40.0,41.666666666666664,55.0,40.98360655737705,54.59016393442623
Nickeil Alexander-Walker,ATL,Atlanta Hawks,2025-11-07,18.666666666666668,19.0,36.666666666666664,31.0,52.056277056277054,52.78838808250573,62.42353671533302,60.4841990861225
Jordan Walsh,BOS,Boston Celtics,2025-11-07,6.333333333333333,4.75,30.0,22.5,56.944444444444436,42.70833333333333,56.944444444444436,42.70833333333333
Jaden McDaniels,MIN,Minnesota Timberwolves,2025-11-07,19.0,20.2,75.55555555555556,80.33333333333333,73.63636363636364,71.3397129186603,74.31769750911117,72.74156190169312
Taylor Hendricks,UTAH,Utah Jazz,2025-11-07,2.0,4.0,0.0,13.333333333333332,17.777777777777775,25.666666666666664,17.777777777777775,26.432432432432428
Jabari Smith Jr.,HOU,Houston Rockets,2025-11-07,11.0,14.5,33.33333333333333,36.11111111111111,58.61111111111111,59.58333333333333,61.29952125341058,62.73966239928541
Thomas Bryant,CLE,Cleveland Cavaliers,2025-11-07,1.3333333333333333,1.6,0.0,0.0,22.222222222222218,23.333333333333332,19.379844961240313,20.636915985753195
Bobby Portis,MIL,Milwaukee Bucks,2025-11-07,5.666666666666667,9.0,30.0,44.666666666666664,46.547619047619044,55.48412698412699,46.547619047619044,56.12290341237709
Josh Okogie,HOU,Houston Rockets,2025-11-07,9.0,9.8,42.22222222222222,50.666666666666664,47.88359788359788,66.73015873015872,55.12371897433536,70.82571067454205
Terance Mann,BKN,Brooklyn Nets,2025-11-07,8.333333333333334,10.6,36.11111111111111,26.666666666666664,43.61111111111111,53.94444444444444,46.501937984496124,55.30195644149133
Josh Minott,BOS,Boston Celtics,2025-11-07,11.666666666666666,9.4,33.333333333333336,26.666666666666664,56.86507936507936,41.39177489177489,59.22129037004341,46.90886252119127
Bobi Klintman,DET,Detroit Pistons,2025-11-07,4.0,4.0,0.0,0.0,33.33333333333333,33.33333333333333,29.069767441860467,29.069767441860467
Miles Bridges,CHA,Charlotte Hornets,2025-11-07,21.666666666666668,22.2,19.09090909090909,35.69696969696969,38.98635477582846,50.308479532163744,49.88590400535909,57.49010096177401
Ja Morant,MEM,Memphis Grizzlies,2025-11-07,18.666666666666668,18.4,4.761904761904762,10.357142857142858,33.48684210526316,36.483082706766915,43.84274593896711,44.889538819213094
KJ Simpson,CHA,Charlotte Hornets,2025-11-07,5.0,5.0,27.777777777777775,27.777777777777775,36.111111111111114,36.111111111111114,39.22111480251015,39.22111480251015
Isaiah Hartenstein,OKC,Oklahoma City Thunder,2025-11-07,17.666666666666668,16.8,0.0,0.0,74.67320261437908,74.67405143875733,79.1105999514135,77.61616706031036
Shai Gilgeous-Alexander,OKC,Oklahoma City Thunder,2025-11-07,31.666666666666668,31.2,57.77777777777777,48.666666666666664,62.60073260073259,62.2032967032967,69.20766469452154,70.43016006643518
Isaiah Collier,UTAH,Utah Jazz,2025-11-07,10.0,10.0,33.33333333333333,33.33333333333333,56.25,56.25,56.3063063063063,56.3063063063063
Daniss Jenkins,DET,Detroit Pistons,2025-11-07,1.5,1.5,0.0,0.0,16.666666666666664,16.666666666666664,15.756302521008402,15.756302521008402
Brooks Barnhizer,OKC,Oklahoma City Thunder,2025-11-07,0.6666666666666666,1.0,0.0,0.0,33.333333333333336,33.33333333333333,33.333333333333336,33.33333333333333
Santi Aldama,MEM,Memphis Grizzlies,2025-11-07,14.333333333333334,13.0,32.063492063492056,28.952380952380953,53.7037037037037,46.62698412698413,57.96515157933381,50.130190778395544
Michael Porter Jr.,BKN,Brooklyn Nets,2025-11-07,25.666666666666668,27.25,31.565656565656568,34.785353535353536,51.45780051150896,56.093350383631716,56.575997909709024,60.81435137345824
Jusuf Nurkic,UTAH,Utah Jazz,2025-11-07,6.666666666666667,6.0,0.0,10.0,33.333333333333336,40.0,38.38181365075135,42.095435659671054
Desmond Bane,ORL,Orlando Magic,2025-11-07,12.0,11.4,41.11111111111111,29.666666666666664,50.55555555555555,43.60606060606061,53.499401273082505,47.319714807452954
Brice Sensabaugh,UTAH,Utah Jazz,2025-11-07,4.0,4.0,3.7037037037037037,15.555555555555554,40.27777777777778,41.66666666666667,38.995726495726494,43.784033835580225
Darius Garland,CLE,Cleveland Cavaliers,2025-11-07,14.0,14.0,36.507936507936506,36.507936507936506,46.30681818181819,46.30681818181819,47.80267126238691,47.80267126238691
Derrick White,BOS,Boston Celtics,2025-11-07,12.666666666666666,11.6,31.388888888888886,28.547619047619047,53.125,45.17045454545455,54.36777067253295,46.05237287314493
Svi Mykhailiuk,UTAH,Utah Jazz,2025-11-07,14.333333333333334,9.2,44.570707070707066,31.74242424242424,64.58333333333333,46.25,64.44380292532718,46.1662817551963
Mike Conley,MIN,Minnesota Timberwolves,2025-11-07,7.333333333333333,8.0,66.66666666666667,63.33333333333333,101.66666666666667,87.66666666666666,102.80501089324618,89.55122359021126
Julius Randle,MIN,Minnesota Timberwolves,2025-11-07,23.333333333333332,26.6,25.0,36.42857142857143,56.15079365079365,59.90100250626566,65.02252261002619,67.30188325750919
Jae'Sean Tate,HOU,Houston Rockets,2025-11-07,0.6666666666666666,0.5,0.0,0.0,16.666666666666668,12.5,16.666666666666668,12.5
Steven Adams,HOU,Houston Rockets,2025-11-07,3.6666666666666665,5.75,0.0,0.0,52.77777777777777,60.416666666666664,50.665614067675925,59.80153613215229
